Ad_ID,Property_Type,Location_Detail,Price,Area,Bedrooms,Bathrooms,Latitude,Longitude,Date_Added,Price per marla,Price per marla per bedroom,Location_specific,Locality
52587399,House,"DHA Phase 6, DHA Defence, Lahore",147500000,20,5,6,31.471571,74.445906,5/30/2025,7375000,1475000,DHA Phase 6, DHA Defence
52584109,House,"DHA Phase 6, DHA Defence, Lahore",107500000,20,5,6,31.481783,74.4625,5/30/2025,5375000,1075000,DHA Phase 6, DHA Defence
52553799,House,"DHA Phase 7, DHA Defence, Lahore",70000000,20,5,6,31.484893,74.472342,5/30/2025,3500000,700000,DHA Phase 7, DHA Defence
52601004,House,"DHA Phase 6, DHA Defence, Lahore",107000000,20,5,6,31.471571,74.445906,5/30/2025,5350000,1070000,DHA Phase 6, DHA Defence
52653327,House,"Sheraz Villas, Lahore",14000000,3,3,3,31.493941,74.363204,5/29/2025,4666666.667,1555555.556,Sheraz Villas,Sheraz Villas
52573170,House,"Lake City, Raiwind Road, Lahore",30000000,5,4,5,31.351054,74.246051,5/30/2025,6000000,1500000,Lake City, Raiwind Road
52634438,House,"Al-Ahmad Garden Housing Scheme, GT Road, Lahore",15500000,4,3,3,31.59783254,74.47256541,5/29/2025,3875000,1291666.667,Al-Ahmad Garden Housing Scheme, GT Road
52651997,House,"Al Hafeez Garden - Phase 2, Main Canal Bank Road, Lahore",12000000,3,3,4,31.586371,74.492236,5/29/2025,4000000,1333333.333,Al Hafeez Garden - Phase 2, Main Canal Bank Road
52654114,House,"DHA Phase 5, DHA Defence, Lahore",68000000,10,4,5,31.466227,74.427137,5/29/2025,6800000,1700000,DHA Phase 5, DHA Defence
52621704,House,"DHA Phase 7, DHA Defence, Lahore",95000000,20,5,6,31.461834,74.488678,5/29/2025,4750000,950000,DHA Phase 7, DHA Defence
52658232,House,"DHA 9 Town, DHA Defence, Lahore",20500000,5,3,4,31.44082,74.438589,5/30/2025,4100000,1366666.667,DHA 9 Town, DHA Defence
52564587,House,"DHA Phase 5, DHA Defence, Lahore",89900000,20,5,6,31.462493,74.409342,5/30/2025,4495000,899000,DHA Phase 5, DHA Defence
50958278,Flat,"Sterling Residences, Gulberg, Lahore",61500000,9,2,3,31.531228,74.349937,5/30/2025,6833333.333,3416666.667,Sterling Residences, Gulberg
51596275,Flat,"Main Boulevard Gulberg, Gulberg, Lahore",65000000,9,3,4,31.53179949,74.3497537,5/30/2025,7222222.222,2407407.407,Main Boulevard Gulberg, Gulberg
42925872,House,"Township, Lahore",150000000,80,9,5,31.451804,74.310436,5/30/2025,1875000,208333.3333,Township,Township
52572701,Flat,"Askari 11, Askari, Lahore",37000000,10,3,3,31.46208575,74.43285694,5/30/2025,3700000,1233333.333,Askari 11, Askari
